taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
species::blue-streak (labroides dimidiatus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::blue-streak (labroides dimidiatus),mackerel,4,3,0.75,0.75,1.0,0.5,1.0
species::bluefin (caranx melampygus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::bluefin (caranx melampygus),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::bluefin (caranx melampygus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::bluefin (caranx melampygus),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::brassy trevally (caranx papuensis),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),control,1,1,1.0,1.0,1.0,0.0,1.0
species::brassy trevally (caranx papuensis),mackerel,4,2,0.5,3.25,3.0,3.774917217635375,7.0
species::brown pigmy (centropyge multispinis),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::brown pigmy (centropyge multispinis),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::brown pigmy (centropyge multispinis),control,1,0,0.0,0.0,0.0,0.0,0.0
species::brown pigmy (centropyge multispinis),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::brown tang (zebrasoma scopas),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::brown tang (zebrasoma scopas),algaemix,3,3,1.0,1.0,1.0,0.0,1.0
species::brown tang (zebrasoma scopas),control,1,0,0.0,0.0,0.0,0.0,0.0
species::brown tang (zebrasoma scopas),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
species::bullethead (chlorurus sordidus),algae_strings,3,3,1.0,2.0,1.0,1.7320508075688772,4.0
species::bullethead (chlorurus sordidus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::bullethead (chlorurus sordidus),control,1,1,1.0,1.0,1.0,0.0,1.0
species::bullethead (chlorurus sordidus),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::checkerboard (halichoeres hortulanus),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::checkerboard (halichoeres hortulanus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::checkerboard (halichoeres hortulanus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::checkerboard (halichoeres hortulanus),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::coral (cephalopholis miniata),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::coral (cephalopholis miniata),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::coral (cephalopholis miniata),control,1,0,0.0,0.0,0.0,0.0,0.0
species::coral (cephalopholis miniata),mackerel,4,1,0.25,0.5,0.0,1.0,2.0
species::disappearing (pseudocheilinus evanidus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::disappearing (pseudocheilinus evanidus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::disappearing (pseudocheilinus evanidus),control,1,1,1.0,1.0,1.0,0.0,1.0
species::disappearing (pseudocheilinus evanidus),mackerel,4,1,0.25,0.5,0.0,1.0,2.0
species::emperor (pomacanthus imperator),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::emperor (pomacanthus imperator),algaemix,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
species::emperor (pomacanthus imperator),control,1,0,0.0,0.0,0.0,0.0,0.0
species::emperor (pomacanthus imperator),mackerel,4,2,0.5,0.75,0.5,0.9574271077563381,2.0
species::false-eye (abudefduf sparoides),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::false-eye (abudefduf sparoides),algaemix,3,3,1.0,1.0,1.0,0.0,1.0
species::false-eye (abudefduf sparoides),control,1,0,0.0,0.0,0.0,0.0,0.0
species::false-eye (abudefduf sparoides),mackerel,4,2,0.5,0.5,0.5,0.5773502691896257,1.0
species::goldbar (thalassoma hebraicum),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::goldbar (thalassoma hebraicum),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::goldbar (thalassoma hebraicum),control,1,0,0.0,0.0,0.0,0.0,0.0
species::goldbar (thalassoma hebraicum),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::goldsaddle (parupeneus cyclostomus),algae_strings,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::goldsaddle (parupeneus cyclostomus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::goldsaddle (parupeneus cyclostomus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::goldsaddle (parupeneus cyclostomus),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::green (amblyglyphidodon indicus),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
species::green (amblyglyphidodon indicus),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
species::green (amblyglyphidodon indicus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::green (amblyglyphidodon indicus),mackerel,4,3,0.75,3.0,3.0,2.581988897471611,6.0
species::halfmoon (sufflamen chrysopterum),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::halfmoon (sufflamen chrysopterum),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::halfmoon (sufflamen chrysopterum),control,1,0,0.0,0.0,0.0,0.0,0.0
species::halfmoon (sufflamen chrysopterum),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
species::honeycomb (siganus stellatus),algae_strings,3,3,1.0,3.3333333333333335,4.0,1.1547005383792515,4.0
species::honeycomb (siganus stellatus),algaemix,3,3,1.0,4.0,4.0,0.0,4.0
species::honeycomb (siganus stellatus),control,1,0,0.0,0.0,0.0,0.0,0.0
species::honeycomb (siganus stellatus),mackerel,4,2,0.5,1.75,1.0,2.362907813126304,5.0
species::humpback (lutjanus gibbus),algae_strings,3,3,1.0,18.0,20.0,4.358898943540674,21.0
species::humpback (lutjanus gibbus),algaemix,3,3,1.0,36.0,43.0,13.892443989449804,45.0
species::humpback (lutjanus gibbus),control,1,1,1.0,1.0,1.0,0.0,1.0
species::humpback (lutjanus gibbus),mackerel,4,4,1.0,14.75,12.0,11.757976016304847,30.0
species::humpnose bigeye (monotaxis grandoculis),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
