taxon_key,koeder_a,koeder_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,p_value_holm_within_taxon,p_value_bh_within_taxon,significant_holm_within_taxon,significant_bh_within_taxon
species::red (lutjanus bohar),fischmix,ulva_gutweed,2,3,1.0,0.0,6.0,0.0955807045456294,1.0,0.5876243404831958,False,False
species::red (lutjanus bohar),fischmix,ulva_salad,2,3,1.0,0.3333333333333333,5.0,0.31731050786291415,1.0,0.7246429326960614,False,False
species::red (lutjanus bohar),mackerel,sargassum,3,3,0.6666666666666666,0.3333333333333333,6.0,0.6192567541768621,1.0,0.7740709427210777,False,False
species::red (lutjanus bohar),mackerel,ulva_gutweed,3,3,0.6666666666666666,0.0,7.5,0.18763232999488433,1.0,0.7036212374808162,False,False
species::red (lutjanus bohar),mackerel,ulva_salad,3,3,0.6666666666666666,0.3333333333333333,6.0,0.6192567541768621,1.0,0.7740709427210777,False,False
species::red (lutjanus bohar),sargassum,ulva_gutweed,3,3,0.3333333333333333,0.0,6.0,0.5049850750938458,1.0,0.7574776126407687,False,False
species::red (lutjanus bohar),sargassum,ulva_salad,3,3,0.3333333333333333,0.3333333333333333,4.5,1.0,1.0,1.0,False,False
species::red (lutjanus bohar),ulva_gutweed,ulva_salad,3,3,0.0,0.3333333333333333,3.0,0.5049850750938458,1.0,0.7574776126407687,False,False
species::redmouth (aethaloperca rogaa),control,fischmix,4,2,0.0,1.0,0.0,0.050399282871482265,0.7559892430722339,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),control,mackerel,4,3,0.0,0.6666666666666666,2.0,0.11752486809663916,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),control,sargassum,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),control,ulva_gutweed,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),control,ulva_salad,4,3,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),fischmix,mackerel,2,3,1.0,0.6666666666666666,4.0,0.6830913983096087,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),fischmix,sargassum,2,3,1.0,0.0,6.0,0.0955807045456294,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),fischmix,ulva_gutweed,2,3,1.0,0.0,6.0,0.0955807045456294,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),fischmix,ulva_salad,2,3,1.0,0.0,6.0,0.0955807045456294,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),mackerel,sargassum,3,3,0.6666666666666666,0.0,7.5,0.18763232999488433,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),mackerel,ulva_gutweed,3,3,0.6666666666666666,0.0,7.5,0.18763232999488433,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),mackerel,ulva_salad,3,3,0.6666666666666666,0.0,7.5,0.18763232999488433,1.0,0.3518106187404081,False,False
species::redmouth (aethaloperca rogaa),sargassum,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),sargassum,ulva_salad,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
species::redmouth (aethaloperca rogaa),ulva_gutweed,ulva_salad,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
