feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
balistidae,24,7,17,4.285714285714286,1.8823529411764706,0.315361750750795,0.46585835129153697,0.36719277625226443,0.02,0.21333333333333335,0.8012367994515635,fish,family,0.1,0.9074074074074073,False,False
blenniidae,24,7,17,1.1428571428571428,0.8235294117647058,0.09589402415059359,-0.16403616855938588,0.09211565044644061,0.7833333333333333,0.7833333333333333,0.046011428702328994,fish,family,0.911111111111111,0.9074074074074073,False,False
carangidae,24,7,17,1.5714285714285714,0.8235294117647058,0.2891877428271541,0.2544107952090854,0.18805681922148101,0.3433333333333333,0.6966666666666667,0.197258180376925,fish,family,0.8066666666666666,0.9074074074074073,False,False
chaetodontidae,24,7,17,2.2857142857142856,2.1176470588235294,0.12332292169854142,-0.1338711445732149,-0.05791690372797301,0.5166666666666667,0.8,0.13508519718549628,fish,family,0.8177777777777777,0.9074074074074073,False,False
cirrhitidae,24,7,17,0.8571428571428571,0.7647058823529411,-0.15403270679109898,0.2721051545257255,0.21943872476166737,0.5833333333333334,0.5966666666666667,0.204661958010405,algae,family,0.8177777777777777,0.9074074074074073,False,False
holocentridae,24,7,17,2.5714285714285716,2.6470588235294117,-0.3080654135821982,1.4959201713825918,0.16502726190432707,0.14666666666666667,0.5566666666666666,0.901903564985271,algae,family,0.48888888888888893,0.9074074074074073,False,False
labridae,24,7,17,4.571428571428571,2.411764705882353,0.4652536175423745,0.14783662056549857,0.01864650882111173,0.0033333333333333335,0.93,0.5443671750643352,fish,family,0.06666666666666667,0.95,False,False
lethrinidae,24,7,17,1.5714285714285714,2.8823529411764706,-0.5080605509635571,-0.9516574181756537,0.6094268279905984,0.39666666666666667,0.32,0.35547998523448054,algae,family,0.8066666666666666,0.9074074074074073,False,False
lutjanidae,24,7,17,1.4285714285714286,1.0588235294117647,0.5071497990519822,0.24231197985632022,-0.6085160760790237,0.11666666666666667,0.07333333333333333,0.23698492037117624,fish,family,0.4666666666666667,0.48888888888888893,False,False
monacanthidae,24,7,17,0.5714285714285714,1.0,-0.10898102811241384,-0.30897745572827273,-0.1149889055410931,0.7266666666666667,0.8166666666666667,0.15336489903512118,algae,family,0.9083333333333333,0.9074074074074073,False,False
mullidae,24,7,17,1.8571428571428572,3.0,-0.03600552406918375,-0.06959916024884849,-0.2584731768699243,0.9333333333333333,0.65,0.06136911595000094,algae,family,0.9333333333333333,0.9074074074074073,False,False
pinguipedidae,24,7,17,0.5714285714285714,0.29411764705882354,0.32115241754401863,-0.18945734129533992,-0.2345090199740258,0.3,0.54,0.17246659238554196,fish,family,0.8066666666666666,0.9074074074074073,False,False
pomacanthidae,24,7,17,1.7142857142857142,2.3529411764705883,-0.12923897886729768,-0.19380490966733596,-0.14541409329973018,0.6133333333333333,0.59,0.26544926109750766,algae,family,0.8177777777777777,0.9074074074074073,False,False
pomacentridae,24,7,17,74.85714285714286,61.0,0.3949055641976583,0.09893630839231929,-0.2016865634824364,0.5133333333333333,0.7366666666666667,0.047660218560239054,fish,family,0.8177777777777777,0.9074074074074073,False,False
scaridae,24,7,17,8.857142857142858,8.117647058823529,0.22653695623692566,0.5661395640902883,-0.4772247158676716,0.56,0.2966666666666667,0.19675773939809016,fish,family,0.8177777777777777,0.9074074074074073,False,False
serranidae,24,7,17,2.0,1.4705882352941178,0.14824203999787555,0.13134766049336852,0.07572789365563153,0.4033333333333333,0.7566666666666667,0.2635147935143113,fish,family,0.8066666666666666,0.9074074074074073,False,False
siganidae,24,7,17,1.0,1.588235294117647,-0.12206803207423414,-0.18256642355912045,-0.10190190157927323,0.82,0.77,0.05679063421648889,algae,family,0.911111111111111,0.9074074074074073,False,False
zanclidae,24,7,17,1.4285714285714286,1.2352941176470589,0.9184055739533704,0.8356816142600058,-1.582248059771696,0.013333333333333334,0.0033333333333333335,0.5819505164720473,fish,family,0.08888888888888889,0.06666666666666667,False,False
abudefduf,24,7,17,1.8571428571428572,0.6470588235294118,0.7643728671622719,0.3861820179207442,-0.600706202164302,0.02666666666666667,0.25666666666666665,0.22356385597003037,fish,genus,0.19555555555555557,0.8182456140350878,False,False
acanthurus,24,7,17,0.42857142857142855,0.7058823529411765,0.3662040962227031,0.8304737166434598,-1.023391017726177,0.19,0.006666666666666667,0.5399589498744943,fish,genus,0.5866666666666666,0.09777777777777778,False,False
aethaloperca,24,7,17,1.8571428571428572,1.1764705882352942,0.22525839339342502,0.05631459834835646,0.07884043768769868,0.023333333333333334,0.6133333333333333,0.45679012345679015,fish,genus,0.19555555555555557,0.8355555555555556,False,False
amblyglyphidodon,24,7,17,6.428571428571429,3.0588235294117645,0.1756709375458234,0.0483547772630232,0.7395062067409877,0.7533333333333333,0.16,0.3490525126774674,fish,genus,0.8912820512820514,0.7626666666666667,False,False
aulostomus,24,7,17,0.8571428571428571,0.9411764705882353,-0.07701635339554924,0.2047158453046196,-0.045587303230916636,0.9066666666666666,0.95,0.12179645921128612,algae,genus,0.9498412698412698,0.9720930232558139,False,False
balistapus,24,7,17,4.285714285714286,1.8823529411764706,0.315361750750795,0.46585835129153697,0.36719277625226443,0.02,0.21333333333333335,0.8012367994515635,fish,genus,0.19555555555555557,0.7822222222222223,False,False
bodianus,24,7,17,0.8571428571428571,0.9411764705882353,-0.27610073886533293,-0.3049818713886646,0.46411041346236753,0.4166666666666667,0.21333333333333335,0.13122745395987678,algae,genus,0.7061728395061728,0.7822222222222223,False,False
cantherhines,24,7,17,0.42857142857142855,0.5882352941176471,0.07701635339554946,-0.038508176697774704,-0.250303148535536,0.9933333333333333,0.58,0.04513888888888884,fish,genus,0.9966666666666666,0.8355555555555556,False,False
caranx,24,7,17,1.4285714285714286,0.5882352941176471,0.5202368030138017,0.4854598553957338,-0.21627903610515392,0.06666666666666667,0.6233333333333333,0.28371471761437217,fish,genus,0.3259259259259259,0.8355555555555556,False,False
centropyge,24,7,17,1.4285714285714286,2.235294117647059,-0.45039139641131565,-0.19943636950217147,0.2264214627578089,0.22666666666666666,0.5833333333333334,0.19902458702184522,algae,genus,0.5866666666666666,0.8355555555555556,False,False
cephalopholis,24,7,17,1.5714285714285714,0.8823529411764706,0.15403270679109904,0.11807244773462645,0.2579469014594422,0.43333333333333335,0.44666666666666666,0.32655327886813934,fish,genus,0.7061728395061728,0.8355555555555556,False,False
chaetodon,24,7,17,2.2857142857142856,2.1176470588235294,0.12332292169854142,-0.1338711445732149,-0.05791690372797301,0.5166666666666667,0.8,0.13508519718549628,fish,genus,0.7839080459770116,0.9129999999999999,False,False
cheilinus,24,7,17,0.8571428571428571,0.7647058823529411,0.23104906018664875,0.10844540356018294,-0.2817321987001693,0.22,0.33,0.054393178498464145,fish,genus,0.5866666666666666,0.8182456140350878,False,False
chlorurus,24,7,17,1.5714285714285714,3.3529411764705883,-0.38328566288292953,0.2865738570753138,-0.4731124530537887,0.3,0.35333333333333333,0.3642342057182657,algae,genus,0.6599999999999999,0.8182456140350878,False,False
chromis,24,7,17,19.857142857142858,10.588235294117647,2.7108042248336357,1.8436599561860778,-3.831871241545672,0.03333333333333333,0.0033333333333333335,0.33861004403124595,fish,genus,0.2095238095238095,0.07333333333333333,False,False
ctenochaetus,24,7,17,3.5714285714285716,3.176470588235294,0.026048617548107833,-0.6831528553458144,0.30580209327481694,0.7566666666666667,0.2866666666666667,0.5489160738405496,fish,genus,0.8912820512820514,0.8182456140350878,False,False
