video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames
4523700,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[95.014733]
4523701,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[102.76098]
4523702,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[102.76098]
4523703,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[102.76098]
4523704,Longnose (Lethrinus olivaceus),Sloping Heads > Emperors (Lethrinidae) > Longnose (Lethrinus olivaceus),Sloping Heads,Lethrinidae,Lethrinus,Longnose (Lethrinus olivaceus),,,[111.352182]
4523705,Longnose (Lethrinus olivaceus),Sloping Heads > Emperors (Lethrinidae) > Longnose (Lethrinus olivaceus),Sloping Heads,Lethrinidae,Lethrinus,Longnose (Lethrinus olivaceus),,,[111.352182]
4523706,Blennies (Blenniidae),Blennies > Blennies (Blenniidae),Blennies,Blenniidae,,Blennies (Blenniidae),,,[112.864365]
4523707,Black Saddled Toby (Canthigaster valentini),Odd-shaped Swimmers > Puffers (Tetraodontidae) > Black Saddled Toby (Canthigaster valentini),Odd-shaped Swimmers,Tetraodontidae,Canthigaster,Black Saddled Toby (Canthigaster valentini),,,[176.373146]
4523708,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),Blennies,Blenniidae,Meiacanthus,Mozambique Fangblenny (Meiacanthus mossambicus),,,[229.013425]
4523709,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[266.636314]
4523710,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[266.636314]
4523711,Brassy Trevally (Caranx papuensis),Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis),Silvery,Carangidae,Caranx,Brassy Trevally (Caranx papuensis),,,[266.636314]
