feature,best_side,indval,p_perm,fish_score,algae_score,fish_specificity,algae_specificity,fish_fidelity,algae_fidelity,mean_fish,mean_algae,feature_type,p_bh,sig_bh
genus soldier,algae,34.81846781736247,0.76,27.284150062825347,34.81846781736247,0.4911147011308562,0.5088852988691438,0.5555555555555556,0.6842105263157895,1.7777777777777777,1.8421052631578947,genus,0.9648648648648649,False
siganus,algae,31.06546854942234,0.7833333333333333,25.745257452574524,31.06546854942234,0.46341463414634143,0.5365853658536586,0.5555555555555556,0.5789473684210527,1.0,1.1578947368421053,genus,0.9648648648648649,False
genus squirrel,algae,28.907219505073364,0.7933333333333333,22.25304361226691,28.907219505073364,0.5006934812760055,0.49930651872399445,0.4444444444444444,0.5789473684210527,2.111111111111111,2.1052631578947367,genus,0.9648648648648649,False
chaetodon,fish,51.35135135135135,0.82,51.35135135135135,48.64864864864865,0.5135135135135135,0.4864864864864865,1.0,1.0,2.3333333333333335,2.210526315789474,genus,0.9710526315789473,False
pseudocheilinus,fish,36.242250834525514,0.88,36.242250834525514,25.615540998418794,0.6523605150214592,0.3476394849785408,0.5555555555555556,0.7368421052631579,2.6666666666666665,1.4210526315789473,genus,0.9914634146341463,False
meiacanthus,fish,31.045751633986928,0.8866666666666667,31.045751633986928,27.86377708978328,0.5588235294117647,0.4411764705882353,0.5555555555555556,0.631578947368421,1.0,0.7894736842105263,genus,0.9914634146341463,False
genus chromis,algae,42.214762691175416,0.9033333333333333,41.35819311808398,42.214762691175416,0.46527967257844477,0.5347203274215553,0.8888888888888888,0.7894736842105263,39.888888888888886,45.8421052631579,genus,0.9914634146341463,False
bodianus,fish,39.93993993993995,0.9866666666666667,39.93993993993995,38.4068278805121,0.5135135135135136,0.4864864864864865,0.7777777777777778,0.7894736842105263,1.0,0.9473684210526315,genus,1.0,False
paracirrhites,algae,33.28591749644381,0.9966666666666667,28.52852852852853,33.28591749644381,0.5135135135135135,0.48648648648648646,0.5555555555555556,0.6842105263157895,0.7777777777777778,0.7368421052631579,genus,1.0,False
labrichthys,algae,19.342105263157894,1.0,15.833333333333332,19.342105263157894,0.475,0.525,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.3684210526315789,genus,1.0,False
acanthurus,fish,18.83519206939281,1.0,18.83519206939281,18.313441596556448,0.5650557620817844,0.4349442379182157,0.3333333333333333,0.42105263157894735,0.8888888888888888,0.6842105263157895,genus,1.0,False
