feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
siganus,10,4,6,1.75,3.3333333333333335,-0.6969392590953313,0.0,0.0,0.15,1.0,0.2797196732482665,algae,genus,0.46142857142857147,1.0,False,False
thalassoma,10,4,6,4.5,1.0,0.82632583937789,0.0,0.0,0.05,1.0,0.4035631251157057,fish,genus,0.19,1.0,False,False
zanclus,10,4,6,2.25,2.8333333333333335,-0.489473459287633,0.0,0.0,0.38333333333333336,1.0,0.10912451625121367,algae,genus,0.7916666666666666,1.0,False,False
zebrasoma,10,4,6,0.5,3.0,-1.0182079304607277,0.0,0.0,0.006666666666666667,1.0,0.7701054464866921,algae,genus,0.042222222222222223,1.0,True,False
disk-shaped/colourful,10,4,6,4.0,4.833333333333333,-0.0584538319478869,0.0,0.0,0.8366666666666667,1.0,0.004394097204485914,algae,unspecific,0.8433333333333334,1.0,False,False
elongate sand & burrow dwellers,10,4,6,2.25,0.5,0.7489330683884975,0.0,0.0,0.04666666666666667,1.0,0.4914235964174326,fish,unspecific,0.20777777777777776,1.0,False,False
heavy bodies/large lips,10,4,6,1.25,0.3333333333333333,0.46209812037329673,0.0,0.0,0.16333333333333333,1.0,0.24242424242424243,fish,unspecific,0.3116666666666667,1.0,False,False
large ovals,10,4,6,5.5,23.333333333333332,-1.3477373553406824,0.0,0.0,0.006666666666666667,1.0,0.7975566792533054,algae,unspecific,0.07333333333333333,1.0,False,False
odd-shaped swimmers,10,4,6,4.5,5.333333333333333,-0.2384226972958058,0.0,0.0,0.37666666666666665,1.0,0.09722088179644528,algae,unspecific,0.5179166666666667,1.0,False,False
parrotfishes,10,4,6,7.75,7.666666666666667,0.07964630128830089,0.0,0.0,0.8433333333333334,1.0,0.005104031706717804,fish,unspecific,0.8433333333333334,1.0,False,False
silvery,10,4,6,3.5,1.5,0.2837449832097457,0.0,0.0,0.5533333333333333,1.0,0.05576746217140838,fish,unspecific,0.6762962962962963,1.0,False,False
slender schoolers/colourful,10,4,6,2.25,6.333333333333333,-1.0658112994373692,0.0,0.0,0.056666666666666664,1.0,0.35231761470014555,algae,unspecific,0.20777777777777776,1.0,False,False
sloping heads,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,unspecific,0.3116666666666667,1.0,False,False
small ovals - damselfishes,10,4,6,11.25,7.5,0.307699439451144,0.0,0.0,0.2966666666666667,1.0,0.12149318010085475,fish,unspecific,0.4661904761904762,1.0,False,False
wrasses,10,4,6,4.5,1.3333333333333333,0.6432237912665385,0.0,0.0,0.10666666666666667,1.0,0.33065118791206816,fish,unspecific,0.29333333333333333,1.0,False,False
algae_oriented_diet_mode,10,4,6,12.5,23.333333333333332,-0.6154849676902878,0.0,0.0,0.02,1.0,0.439095419623308,algae,composite_group,0.068,1.0,False,False
bioeroder_set,10,4,6,7.75,8.5,-0.09876060066193537,0.0,0.0,0.7633333333333333,1.0,0.01318624791647438,algae,composite_group,0.8110416666666667,1.0,False,False
fish_oriented_diet_mode,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
herbivore_core_families,10,4,6,7.75,23.333333333333332,-1.0685796567979853,0.0,0.0,0.006666666666666667,1.0,0.6669323809262706,algae,composite_group,0.068,1.0,False,False
herbivore_extended_with_damselfishes,10,4,6,12.5,23.333333333333332,-0.6154849676902878,0.0,0.0,0.02,1.0,0.439095419623308,algae,composite_group,0.068,1.0,False,False
invertebrate_oriented_diet_mode,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
invertivore_benthic_core,10,4,6,4.0,11.333333333333334,-0.965646815799055,0.0,0.0,0.02,1.0,0.6292544050257834,algae,composite_group,0.068,1.0,False,False
invertivore_general,10,4,6,4.0,11.333333333333334,-0.965646815799055,0.0,0.0,0.02,1.0,0.6292544050257834,algae,composite_group,0.068,1.0,False,False
nocturnal_predator_mixture,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
omnivore_box_puffer_file,10,4,6,1.25,1.0,0.07739277098939251,0.0,0.0,0.94,1.0,0.009905517904733485,fish,composite_group,0.94,1.0,False,False
piscivore_active_hunters,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
piscivore_core_families,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
planktivore_core,10,4,6,2.25,6.333333333333333,-1.0658112994373692,0.0,0.0,0.056666666666666664,1.0,0.35231761470014555,algae,composite_group,0.16055555555555553,1.0,False,False
plankton_oriented_diet_mode,10,4,6,11.25,8.5,0.18442157341867108,0.0,0.0,0.49666666666666665,1.0,0.05001537245978038,fish,composite_group,0.6030952380952381,1.0,False,False
predator_reef_core,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
snappers_groupers_combo,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,composite_group,0.22230769230769232,1.0,False,False
wrasses_trigger_combo,10,4,6,4.5,2.8333333333333335,0.23376782912965435,0.0,0.0,0.5433333333333333,1.0,0.041032942692911134,fish,composite_group,0.6157777777777778,1.0,False,False
