taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
species::blackeye (hemigymnus melapterus),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::blackeye (hemigymnus melapterus),mackerel,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::blackeye (hemigymnus melapterus),sargassum,3,3,1.0,1.0,1.0,0.0,1.0
species::blackeye (hemigymnus melapterus),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::blackeye (hemigymnus melapterus),ulva_salad,3,3,1.0,1.0,1.0,0.0,1.0
species::blacktip (epinephelus fasciatus),control,4,0,0.0,0.0,0.0,0.0,0.0
species::blacktip (epinephelus fasciatus),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::blacktip (epinephelus fasciatus),mackerel,3,2,0.6666666666666666,1.3333333333333333,2.0,1.1547005383792517,2.0
species::blacktip (epinephelus fasciatus),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::blacktip (epinephelus fasciatus),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::blacktip (epinephelus fasciatus),ulva_salad,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::blue-green (chromis viridis),control,4,1,0.25,0.5,0.0,1.0,2.0
species::blue-green (chromis viridis),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::blue-green (chromis viridis),mackerel,3,2,0.6666666666666666,1.6666666666666667,1.0,2.0816659994661326,4.0
species::blue-green (chromis viridis),sargassum,3,1,0.3333333333333333,18.0,0.0,31.176914536239792,54.0
species::blue-green (chromis viridis),ulva_gutweed,3,2,0.6666666666666666,10.0,13.0,8.888194417315589,17.0
species::blue-green (chromis viridis),ulva_salad,3,1,0.3333333333333333,19.333333333333332,0.0,33.4863156129983,58.0
species::blue-streak (labroides dimidiatus),control,4,2,0.5,1.25,1.0,1.5,3.0
species::blue-streak (labroides dimidiatus),fischmix,2,2,1.0,2.0,2.0,0.0,2.0
species::blue-streak (labroides dimidiatus),mackerel,3,3,1.0,2.0,1.0,1.7320508075688772,4.0
species::blue-streak (labroides dimidiatus),sargassum,3,3,1.0,1.0,1.0,0.0,1.0
species::blue-streak (labroides dimidiatus),ulva_gutweed,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::blue-streak (labroides dimidiatus),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
species::bluefin (caranx melampygus),control,4,1,0.25,0.25,0.0,0.5,1.0
species::bluefin (caranx melampygus),fischmix,2,2,1.0,2.0,2.0,1.4142135623730951,3.0
species::bluefin (caranx melampygus),mackerel,3,1,0.3333333333333333,1.0,0.0,1.7320508075688772,3.0
species::bluefin (caranx melampygus),sargassum,3,2,0.6666666666666666,1.6666666666666667,1.0,2.0816659994661326,4.0
species::bluefin (caranx melampygus),ulva_gutweed,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
species::bluefin (caranx melampygus),ulva_salad,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
species::brassy trevally (caranx papuensis),control,4,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::brassy trevally (caranx papuensis),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
species::brown pigmy (centropyge multispinis),control,4,4,1.0,2.0,2.0,0.0,2.0
species::brown pigmy (centropyge multispinis),fischmix,2,2,1.0,1.5,1.5,0.7071067811865476,2.0
species::brown pigmy (centropyge multispinis),mackerel,3,3,1.0,1.0,1.0,0.0,1.0
species::brown pigmy (centropyge multispinis),sargassum,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
species::brown pigmy (centropyge multispinis),ulva_gutweed,3,3,1.0,2.6666666666666665,3.0,0.5773502691896258,3.0
species::brown pigmy (centropyge multispinis),ulva_salad,3,3,1.0,1.0,1.0,0.0,1.0
species::brown tang (zebrasoma scopas),control,4,3,0.75,1.75,1.5,1.707825127659933,4.0
species::brown tang (zebrasoma scopas),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::brown tang (zebrasoma scopas),mackerel,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
species::brown tang (zebrasoma scopas),sargassum,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::brown tang (zebrasoma scopas),ulva_gutweed,3,1,0.3333333333333333,1.3333333333333333,0.0,2.3094010767585034,4.0
species::brown tang (zebrasoma scopas),ulva_salad,3,3,1.0,2.0,2.0,1.0,3.0
species::bullethead (chlorurus sordidus),control,4,4,1.0,2.25,2.0,0.5,3.0
species::bullethead (chlorurus sordidus),fischmix,2,2,1.0,1.0,1.0,0.0,1.0
species::bullethead (chlorurus sordidus),mackerel,3,3,1.0,1.0,1.0,0.0,1.0
species::bullethead (chlorurus sordidus),sargassum,3,3,1.0,5.0,4.0,2.6457513110645907,8.0
species::bullethead (chlorurus sordidus),ulva_gutweed,3,3,1.0,3.6666666666666665,3.0,1.1547005383792515,5.0
species::bullethead (chlorurus sordidus),ulva_salad,3,3,1.0,3.0,2.0,2.6457513110645907,6.0
species::checkerboard (halichoeres hortulanus),control,4,2,0.5,0.75,0.5,0.9574271077563381,2.0
species::checkerboard (halichoeres hortulanus),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::checkerboard (halichoeres hortulanus),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
species::checkerboard (halichoeres hortulanus),sargassum,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
species::checkerboard (halichoeres hortulanus),ulva_gutweed,3,3,1.0,1.0,1.0,0.0,1.0
species::checkerboard (halichoeres hortulanus),ulva_salad,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::chevroned (chaetodon trifascialis),control,4,0,0.0,0.0,0.0,0.0,0.0
species::chevroned (chaetodon trifascialis),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::chevroned (chaetodon trifascialis),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::chevroned (chaetodon trifascialis),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::chevroned (chaetodon trifascialis),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::chevroned (chaetodon trifascialis),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),control,4,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
species::cigar (cheilio inermis),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),control,4,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),fischmix,2,2,1.0,2.0,2.0,0.0,2.0
species::claudia (halichoeres claudia),mackerel,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
species::claudia (halichoeres claudia),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),ulva_salad,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::clown (coris aygula),control,4,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),ulva_salad,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
species::disappearing (pseudocheilinus evanidus),control,4,4,1.0,1.25,1.0,0.5,2.0
species::disappearing (pseudocheilinus evanidus),fischmix,2,2,1.0,2.0,2.0,1.4142135623730951,3.0
species::disappearing (pseudocheilinus evanidus),mackerel,3,2,0.6666666666666666,5.333333333333333,5.0,5.507570547286102,11.0
species::disappearing (pseudocheilinus evanidus),sargassum,3,3,1.0,1.6666666666666667,1.0,1.1547005383792517,3.0
species::disappearing (pseudocheilinus evanidus),ulva_gutweed,3,3,1.0,2.0,2.0,1.0,3.0
species::disappearing (pseudocheilinus evanidus),ulva_salad,3,3,1.0,2.6666666666666665,3.0,1.5275252316519465,4.0
species::eclipse (chaetodon bennetti),control,4,3,0.75,0.75,1.0,0.5,1.0
species::eclipse (chaetodon bennetti),fischmix,2,2,1.0,1.0,1.0,0.0,1.0
