species,baits
Threadfin (Chaetodon auriga),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Thumbprint (Lethrinus harak),"FISCHMIX, MACKEREL"
Titan (Balistoides viridescens),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Trumpetfish (Aulostomus chinensis),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Tubelip (Labrichthys unilineatus),"CONTROL, MACKEREL, MEERSALAT, SARGASSUM"
Undulated (Gymnothorax undulatus),MACKEREL
Weber's puller (Chromis weberi),MACKEREL
Whiteline (Stethojulis albovittata),MACKEREL
Wirenet (Cantherhines pardalis),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Yellowhead (Chaetodon xanthocephalus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Yellowstripe (Mulloidichthys flavolineatus),"CONTROL, MEERSALAT, SARGASSUM"
Zanclidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Zanclus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Zebrasoma,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
