control,fischmix,mackerel,sargassum,ulva_gutweed,ulva_salad
species::trumpetfish (aulostomus chinensis),,species::redmouth (aethaloperca rogaa),species::titan (balistoides viridescens),species::spotted (chaetodon guttatissimus),species::sixbar (thalassoma hardwicke)
species::tubelip (labrichthys unilineatus),,species::regal (pygoplites diacanthus),species::trumpetfish (aulostomus chinensis),species::spotted toby (canthigaster solandri),species::slingjaw (epibulus insidiator)
species::wirenet (cantherhines pardalis),,species::saddleback (chaetodon falcula),species::tubelip (labrichthys unilineatus),species::swarthy (scarus niger),species::snubnose (lethrinus borbonicus)
species::yellowhead (chaetodon xanthocephalus),,species::sailfin tang (zebrasoma desjardinii),species::wirenet (cantherhines pardalis),species::threadfin (chaetodon auriga),species::speckled (parapercis hexophthalma)
species::yellowstripe (mulloidichthys flavolineatus),,species::scissortail sergeant (abudefduf sexfasciatus),species::yellowhead (chaetodon xanthocephalus),species::titan (balistoides viridescens),species::spotted (chaetodon guttatissimus)
,,species::sixbar (thalassoma hardwicke),species::yellowstripe (mulloidichthys flavolineatus),species::trumpetfish (aulostomus chinensis),species::spotted toby (canthigaster solandri)
,,species::speckled (parapercis hexophthalma),,species::wirenet (cantherhines pardalis),species::swarthy (scarus niger)
,,species::spotted (chaetodon guttatissimus),,species::yellowhead (chaetodon xanthocephalus),species::threadfin (chaetodon auriga)
,,species::spotted toby (canthigaster solandri),,,species::titan (balistoides viridescens)
,,species::swarthy (scarus niger),,,species::trumpetfish (aulostomus chinensis)
,,species::ternate (chromis ternatensis),,,species::tubelip (labrichthys unilineatus)
,,species::threadfin (chaetodon auriga),,,species::wirenet (cantherhines pardalis)
,,species::titan (balistoides viridescens),,,species::yellowhead (chaetodon xanthocephalus)
,,species::trumpetfish (aulostomus chinensis),,,
,,species::undulated (gymnothorax undulatus),,,
,,species::weber's puller (chromis weberi),,,
,,species::wirenet (cantherhines pardalis),,,
,,species::yellowhead (chaetodon xanthocephalus),,,
