site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,genus,lutjanus,5,9,2.0,1.1111111111111112,2.0,1.0,34.0,0.10198685157821674,0.5111111111111111,fish,1.0,0.4236376911710541,False,False
utumbi,genus,epinephelus,5,9,1.0,0.2222222222222222,1.0,0.0,33.0,0.11743667233267681,0.4666666666666667,fish,1.0,0.4486312519724518,False,False
utumbi,genus,epibulus,5,9,0.2,0.6666666666666666,0.0,1.0,12.0,0.12461979221456995,-0.4666666666666667,algae,1.0,0.4486312519724518,False,False
utumbi,genus,ctenochaetus,5,9,2.6,1.8888888888888888,3.0,2.0,33.0,0.1440388788050459,0.4666666666666667,fish,1.0,0.4861312159670299,False,False
utumbi,genus,forcipiger,5,9,0.0,0.3333333333333333,0.0,0.0,15.0,0.19023135823336013,-0.3333333333333333,algae,1.0,0.5210203982766614,False,False
utumbi,genus,canthigaster,5,9,0.0,0.3333333333333333,0.0,0.0,15.0,0.19023135823336013,-0.3333333333333333,algae,1.0,0.5210203982766614,False,False
utumbi,genus,scolopsis,5,9,0.0,0.6666666666666666,0.0,0.0,15.0,0.19404720871688397,-0.3333333333333333,algae,1.0,0.5210203982766614,False,False
utumbi,genus,parupeneus,5,9,1.4,2.6666666666666665,1.0,2.0,13.0,0.19435157710466477,-0.4222222222222222,algae,1.0,0.5210203982766614,False,False
utumbi,genus,centropyge,5,9,1.2,1.7777777777777777,1.0,2.0,13.5,0.2026190437742572,-0.4,algae,1.0,0.5210203982766614,False,False
utumbi,genus,hemigymnus,5,9,1.2,1.0,1.0,1.0,27.0,0.23303798227390538,0.2,fish,1.0,0.5720023201268586,False,False
utumbi,genus,monotaxis,5,9,1.0,0.5555555555555556,1.0,1.0,30.5,0.25489085754716734,0.35555555555555557,fish,1.0,0.5862753249108749,False,False
utumbi,genus,acanthurus,5,9,1.2,1.4444444444444444,0.0,1.0,14.0,0.2605668110714999,-0.37777777777777777,algae,1.0,0.5862753249108749,False,False
utumbi,genus,aulostomus,5,9,0.8,1.2222222222222223,1.0,1.0,15.0,0.2731064388475375,-0.3333333333333333,algae,1.0,0.589909907910681,False,False
utumbi,genus,hemitaurichthys,5,9,0.0,0.2222222222222222,0.0,0.0,17.5,0.3234363510452939,-0.2222222222222222,algae,1.0,0.6497441955350503,False,False
utumbi,genus,genus caesio,5,9,0.0,8.0,0.0,0.0,17.5,0.3248720977675251,-0.2222222222222222,algae,1.0,0.6497441955350503,False,False
utumbi,genus,genus chromis,5,9,43.2,28.444444444444443,21.0,34.0,30.0,0.3501178793024773,0.3333333333333333,fish,1.0,0.6752273386547776,False,False
utumbi,genus,bodianus,5,9,1.0,0.6666666666666666,1.0,1.0,28.5,0.38556312998580955,0.26666666666666666,fish,1.0,0.7009029182809016,False,False
utumbi,genus,calotomus,5,9,0.2,0.4444444444444444,0.0,0.0,17.0,0.42299641320133075,-0.24444444444444444,algae,1.0,0.7009029182809016,False,False
utumbi,genus,cantherhines,5,9,0.2,0.4444444444444444,0.0,0.0,17.0,0.42299641320133075,-0.24444444444444444,algae,1.0,0.7009029182809016,False,False
utumbi,genus,meiacanthus,5,9,1.0,0.5555555555555556,1.0,1.0,28.5,0.4247226704252337,0.26666666666666666,fish,1.0,0.7009029182809016,False,False
utumbi,genus,genus soldier,5,9,3.2,3.4444444444444446,3.0,3.0,16.5,0.43240883007811715,-0.26666666666666666,algae,1.0,0.7009029182809016,False,False
utumbi,genus,abudefduf,5,9,2.4,0.8888888888888888,1.0,1.0,28.5,0.4425692800788331,0.26666666666666666,fish,1.0,0.7009029182809016,False,False
utumbi,genus,zebrasoma,5,9,4.0,1.5555555555555556,2.0,1.0,28.5,0.45428892851539915,0.26666666666666666,fish,1.0,0.7009029182809016,False,False
utumbi,genus,naso,5,9,3.2,1.2222222222222223,1.0,1.0,27.0,0.5336208349319131,0.2,fish,1.0,0.8004312523978697,False,False
utumbi,genus,caranx,5,9,1.4,1.0,1.0,0.0,26.5,0.616917067761689,0.17777777777777778,fish,1.0,0.8711017618482318,False,False
utumbi,genus,pseudocheilinus,5,9,4.0,2.111111111111111,3.0,2.0,26.5,0.6291976838265072,0.17777777777777778,fish,1.0,0.8711017618482318,False,False
utumbi,genus,genus squirrel,5,9,3.8,4.222222222222222,4.0,5.0,18.5,0.6319895545746954,-0.17777777777777778,algae,1.0,0.8711017618482318,False,False
utumbi,genus,pygoplites,5,9,1.4,1.2222222222222223,1.0,1.0,25.5,0.7043042091089552,0.13333333333333333,fish,1.0,0.8711017618482318,False,False
utumbi,genus,siganus,5,9,0.6,0.8888888888888888,0.0,0.0,19.5,0.7043042091089552,-0.13333333333333333,algae,1.0,0.8711017618482318,False,False
utumbi,genus,chaetodon,5,9,2.0,1.8888888888888888,2.0,2.0,25.0,0.7100053525993941,0.1111111111111111,fish,1.0,0.8711017618482318,False,False
utumbi,genus,halichoeres,5,9,1.2,1.1111111111111112,1.0,1.0,25.0,0.7366069598886785,0.1111111111111111,fish,1.0,0.8711017618482318,False,False
utumbi,genus,genus naso,5,9,0.8,0.8888888888888888,1.0,1.0,20.0,0.7366069598886785,-0.1111111111111111,algae,1.0,0.8711017618482318,False,False
utumbi,genus,novaculichthys,5,9,0.2,0.1111111111111111,0.0,0.0,24.5,0.7420496489818271,0.08888888888888889,fish,1.0,0.8711017618482318,False,False
utumbi,genus,parapercis,5,9,0.2,0.1111111111111111,0.0,0.0,24.5,0.7420496489818271,0.08888888888888889,fish,1.0,0.8711017618482318,False,False
utumbi,genus,chromis,5,9,27.6,22.666666666666668,0.0,13.0,20.0,0.7758234986841589,-0.1111111111111111,fish,1.0,0.8913716793392464,False,False
utumbi,genus,gomphosus,5,9,1.8,1.6666666666666667,2.0,2.0,24.5,0.8276583121479599,0.08888888888888889,fish,1.0,0.931115601166455,False,False
utumbi,genus,cheilinus,5,9,0.8,0.7777777777777778,1.0,1.0,23.5,0.9371272252211671,0.044444444444444446,fish,1.0,0.9767605318232001,False,False
utumbi,genus,oxycheilinus,5,9,0.8,0.8888888888888888,1.0,1.0,23.5,0.9371272252211671,0.044444444444444446,algae,1.0,0.9767605318232001,False,False
utumbi,genus,labrichthys,5,9,0.6,0.5555555555555556,1.0,1.0,23.5,0.9381628590181134,0.044444444444444446,fish,1.0,0.9767605318232001,False,False
utumbi,genus,lethrinus,5,9,0.6,0.5555555555555556,0.0,1.0,21.5,0.9405842158297483,-0.044444444444444446,fish,1.0,0.9767605318232001,False,False
utumbi,genus,pycnochromis,5,9,65.4,53.0,49.0,42.0,23.0,1.0,0.022222222222222223,fish,1.0,1.0,False,False
utumbi,genus,paracirrhites,5,9,1.0,1.0,1.0,1.0,22.5,1.0,0.0,algae,1.0,1.0,False,False
