taxon_key,standort,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
species::black saddled toby (canthigaster valentini),utumbi,18,6,0.3333333333333333,0.3333333333333333,0.0,0.48507125007266594,1.0
species::black-backed (chaetodon melannotus),milimani,17,11,0.6470588235294118,1.0,1.0,0.9354143466934853,3.0
species::black-backed (chaetodon melannotus),nursery,11,9,0.8181818181818182,2.909090909090909,2.0,3.269695565478397,10.0
species::black-backed (chaetodon melannotus),utumbi,18,4,0.2222222222222222,0.2777777777777778,0.0,0.5745131499601417,2.0
species::black-lipped (chaetodon kleinii),milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
species::black-lipped (chaetodon kleinii),nursery,11,3,0.2727272727272727,0.6363636363636364,0.0,1.5015143870590966,5.0
species::black-lipped (chaetodon kleinii),utumbi,18,11,0.6111111111111112,0.8888888888888888,1.0,0.8323523637957304,2.0
species::blackeye (hemigymnus melapterus),milimani,17,11,0.6470588235294118,0.6470588235294118,1.0,0.49259218307188896,1.0
species::blackeye (hemigymnus melapterus),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::blackeye (hemigymnus melapterus),utumbi,18,13,0.7222222222222222,0.7777777777777778,1.0,0.5483188805533162,2.0
species::blackspot (lutjanus fulviflamma),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blackspot (lutjanus fulviflamma),nursery,11,7,0.6363636363636364,3.909090909090909,1.0,5.787133063176367,19.0
species::blackspot (lutjanus fulviflamma),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::blackspot feeding (lutjanus fulviflamma),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blackspot feeding (lutjanus fulviflamma),nursery,11,1,0.09090909090909091,0.5454545454545454,0.0,1.8090680674665818,6.0
species::blackspot feeding (lutjanus fulviflamma),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::blacktip (epinephelus fasciatus),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blacktip (epinephelus fasciatus),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::blacktip (epinephelus fasciatus),utumbi,18,5,0.2777777777777778,0.3888888888888889,0.0,0.6978023391872253,2.0
species::blackwhite (macolor niger),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite (macolor niger),nursery,11,10,0.9090909090909091,0.9090909090909091,1.0,0.30151134457776363,1.0
species::blackwhite (macolor niger),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite feeding (macolor niger),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blackwhite feeding (macolor niger),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.30151134457776363,1.0
species::blackwhite feeding (macolor niger),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::blue barred (scarus ghobban),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::blue barred (scarus ghobban),nursery,11,7,0.6363636363636364,1.7272727272727273,1.0,1.7939291563999449,5.0
species::blue barred (scarus ghobban),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::blue-green (chromis viridis),milimani,17,1,0.058823529411764705,0.8235294117647058,0.0,3.395498750508662,14.0
species::blue-green (chromis viridis),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::blue-green (chromis viridis),utumbi,18,7,0.3888888888888889,8.277777777777779,0.0,18.028753359908674,58.0
species::blue-streak (labroides dimidiatus),milimani,17,2,0.11764705882352941,0.17647058823529413,0.0,0.5285941398709244,2.0
species::blue-streak (labroides dimidiatus),nursery,11,3,0.2727272727272727,0.2727272727272727,0.0,0.46709936649691375,1.0
species::blue-streak (labroides dimidiatus),utumbi,18,12,0.6666666666666666,1.1111111111111112,1.0,1.1318329168362207,4.0
species::bluefin (caranx melampygus),milimani,17,5,0.29411764705882354,0.7058823529411765,0.0,1.7235394498804248,7.0
species::bluefin (caranx melampygus),nursery,11,2,0.18181818181818182,0.18181818181818182,0.0,0.4045199174779452,1.0
species::bluefin (caranx melampygus),utumbi,18,8,0.4444444444444444,0.9444444444444444,0.0,1.3048426644944466,4.0
species::brassy trevally (caranx papuensis),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::brassy trevally (caranx papuensis),nursery,11,3,0.2727272727272727,1.2727272727272727,0.0,2.611164839335468,7.0
species::brassy trevally (caranx papuensis),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::brown pigmy (centropyge multispinis),milimani,17,16,0.9411764705882353,2.235294117647059,2.0,1.200490095997562,4.0
species::brown pigmy (centropyge multispinis),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
species::brown pigmy (centropyge multispinis),utumbi,18,18,1.0,1.6666666666666667,2.0,0.6859943405700354,3.0
species::brown tang (zebrasoma scopas),milimani,17,17,1.0,2.9411764705882355,3.0,1.8864844365675972,8.0
species::brown tang (zebrasoma scopas),nursery,11,5,0.45454545454545453,0.45454545454545453,0.0,0.5222329678670934,1.0
species::brown tang (zebrasoma scopas),utumbi,18,14,0.7777777777777778,1.5,1.0,1.2485285456935955,4.0
species::bullethead (chlorurus sordidus),milimani,17,15,0.8823529411764706,2.3529411764705883,2.0,1.4975470138942315,6.0
species::bullethead (chlorurus sordidus),nursery,11,4,0.36363636363636365,0.6363636363636364,0.0,1.2060453783110545,4.0
species::bullethead (chlorurus sordidus),utumbi,18,18,1.0,2.7222222222222223,2.0,1.9645551975404016,8.0
species::checkerboard (halichoeres hortulanus),milimani,17,14,0.8235294117647058,0.8823529411764706,1.0,0.48507125007266594,2.0
species::checkerboard (halichoeres hortulanus),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
species::checkerboard (halichoeres hortulanus),utumbi,18,11,0.6111111111111112,0.7222222222222222,1.0,0.6691131580686884,2.0
species::chevroned (chaetodon trifascialis),milimani,17,9,0.5294117647058824,0.5294117647058824,1.0,0.5144957554275266,1.0
species::chevroned (chaetodon trifascialis),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::chevroned (chaetodon trifascialis),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::cigar (cheilio inermis),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::cigar (cheilio inermis),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::claudia (halichoeres claudia),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::claudia (halichoeres claudia),utumbi,18,5,0.2777777777777778,0.3888888888888889,0.0,0.6978023391872253,2.0
species::clown (coris aygula),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::clown (coris aygula),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::coral (cephalopholis miniata),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::coral (cephalopholis miniata),nursery,11,1,0.09090909090909091,0.18181818181818182,0.0,0.6030226891555271,2.0
species::coral (cephalopholis miniata),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::disappearing (pseudocheilinus evanidus),milimani,17,9,0.5294117647058824,0.9411764705882353,1.0,1.1440382552221602,4.0
species::disappearing (pseudocheilinus evanidus),nursery,11,2,0.18181818181818182,0.2727272727272727,0.0,0.6466697906828633,2.0
species::disappearing (pseudocheilinus evanidus),utumbi,18,17,0.9444444444444444,2.4444444444444446,1.5,2.502286536049925,11.0
species::eclipse (chaetodon bennetti),milimani,17,6,0.35294117647058826,0.4117647058823529,0.0,0.6183469424008423,2.0
species::eclipse (chaetodon bennetti),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::eclipse (chaetodon bennetti),utumbi,18,12,0.6666666666666666,0.8333333333333334,1.0,0.7071067811865476,2.0
species::elegant unicorn (naso elegans),milimani,17,1,0.058823529411764705,0.17647058823529413,0.0,0.7276068751089989,3.0
species::elegant unicorn (naso elegans),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::elegant unicorn (naso elegans),utumbi,18,11,0.6111111111111112,0.7222222222222222,1.0,0.6691131580686884,2.0
species::emperor (pomacanthus imperator),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::emperor (pomacanthus imperator),nursery,11,4,0.36363636363636365,0.5454545454545454,0.0,0.8201995322647243,2.0
species::emperor (pomacanthus imperator),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
species::false-eye (abudefduf sparoides),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::false-eye (abudefduf sparoides),nursery,11,7,0.6363636363636364,0.6363636363636364,1.0,0.504524979109513,1.0
species::false-eye (abudefduf sparoides),utumbi,18,11,0.6111111111111112,1.2222222222222223,1.0,1.864704851446077,8.0
species::five-saddle (scarus saber),milimani,17,0,0.0,0.0,0.0,0.0,0.0
species::five-saddle (scarus saber),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::five-saddle (scarus saber),utumbi,18,15,0.8333333333333334,0.8333333333333334,1.0,0.3834824944236852,1.0
species::freckled (paracirrhites forsteri),milimani,17,8,0.47058823529411764,0.47058823529411764,0.0,0.5144957554275266,1.0
species::freckled (paracirrhites forsteri),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::freckled (paracirrhites forsteri),utumbi,18,14,0.7777777777777778,1.0,1.0,0.6859943405700354,2.0
species::goldbar (thalassoma hebraicum),milimani,17,16,0.9411764705882353,1.411764705882353,1.0,0.7952062255644574,3.0
species::goldbar (thalassoma hebraicum),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
