filename,date,standort,koeder,flag,taxon_key,event_count
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,feeding,species::undulated (gymnothorax undulatus),1
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,interested,species::moon (thalassoma lunare),2
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,interested,species::goldbar (thalassoma hebraicum),1
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,interested,species::red (lutjanus bohar),1
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,interested,family_label::wrasses interested,1
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,feeding,species::orange-lined (balistapus undulatus),1
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,interested,species::orange-lined (balistapus undulatus),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::red (lutjanus bohar),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::orange-lined (balistapus undulatus),3
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::green (amblyglyphidodon indicus),9
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::moon (thalassoma lunare),3
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::redmouth (aethaloperca rogaa),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,species::blacktip (epinephelus fasciatus),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,feeding,family_label::groupers feeding,3
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,interested,species::green (amblyglyphidodon indicus),5
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,interested,species::goldbar (thalassoma hebraicum),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,interested,species::redmouth (aethaloperca rogaa),1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,interested,species::sulfur (pomacentrus sulfureus),1
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,feeding,species::goldbar (thalassoma hebraicum),1
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,interested,species::green (amblyglyphidodon indicus),1
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,interested,species::orange-lined (balistapus undulatus),2
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,interested,species::red (lutjanus bohar),1
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,feeding,species::goldbar (thalassoma hebraicum),1
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,interested,species::orange-lined (balistapus undulatus),1
20241105-utumbi-control.csv,20241105,utumbi,control,feeding,species::green (amblyglyphidodon indicus),1
20241105-utumbi-control.csv,20241105,utumbi,control,interested,species::green (amblyglyphidodon indicus),1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,feeding,species::moon (thalassoma lunare),2
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,feeding,species::goldbar (thalassoma hebraicum),1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,feeding,species::red (lutjanus bohar),1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,feeding,family_label::naso feeding,1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,interested,species::goldbar (thalassoma hebraicum),1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,interested,species::moon (thalassoma lunare),1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,interested,species::red (lutjanus bohar),1
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,interested,species::orange-lined (balistapus undulatus),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::orange-lined (balistapus undulatus),3
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::goldbar (thalassoma hebraicum),2
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::green (amblyglyphidodon indicus),8
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::red (lutjanus bohar),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::redmouth (aethaloperca rogaa),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::blacktip (epinephelus fasciatus),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,feeding,species::false-eye (abudefduf sparoides),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::orange-lined (balistapus undulatus),9
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::goldbar (thalassoma hebraicum),2
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::green (amblyglyphidodon indicus),10
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::leopard (cephalopholis leopardus),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::red (lutjanus bohar),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::redmouth (aethaloperca rogaa),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::blacktip (epinephelus fasciatus),1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,species::false-eye (abudefduf sparoides),4
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,interested,family_label::groupers interested,3
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,feeding,species::goldbar (thalassoma hebraicum),4
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,feeding,species::green (amblyglyphidodon indicus),1
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,feeding,species::black-lipped (chaetodon kleinii),3
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,feeding,species::red (lutjanus bohar),1
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,feeding,species::moon (thalassoma lunare),1
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,interested,species::redmouth (aethaloperca rogaa),1
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,interested,species::red (lutjanus bohar),1
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,feeding,species::green (amblyglyphidodon indicus),1
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,interested,species::goldbar (thalassoma hebraicum),1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,feeding,species::green (amblyglyphidodon indicus),1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,feeding,species::goldbar (thalassoma hebraicum),1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,interested,species::green (amblyglyphidodon indicus),2
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,interested,species::goldbar (thalassoma hebraicum),1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,interested,species::red (lutjanus bohar),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::orange-lined (balistapus undulatus),14
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::moon (thalassoma lunare),5
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::green (amblyglyphidodon indicus),7
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,family_label::groupers feeding,1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::redmouth (aethaloperca rogaa),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::red (lutjanus bohar),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::black-lipped (chaetodon kleinii),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,feeding,species::freckled (paracirrhites forsteri),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::green (amblyglyphidodon indicus),10
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::orange-lined (balistapus undulatus),8
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::moon (thalassoma lunare),2
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,family_label::groupers interested,1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::undulated (gymnothorax undulatus),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::freckled (paracirrhites forsteri),1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,interested,species::black-lipped (chaetodon kleinii),2
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::moon (thalassoma lunare),2
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::blacktip (epinephelus fasciatus),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::orange-lined (balistapus undulatus),3
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::green (amblyglyphidodon indicus),3
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::red (lutjanus bohar),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::redmouth (aethaloperca rogaa),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::longfin banner (heniochus acuminatus),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::black-lipped (chaetodon kleinii),3
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,feeding,species::goldbar (thalassoma hebraicum),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,interested,species::green (amblyglyphidodon indicus),5
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,interested,species::orange-lined (balistapus undulatus),1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,interested,species::black-lipped (chaetodon kleinii),3
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,interested,species::sulfur (pomacentrus sulfureus),2
