filename,date,standort,koeder,taxon,first_feeding_species_sec
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,green (amblyglyphidodon indicus),28.2403461
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,family::serranidae,281.7256917
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,redmouth (aethaloperca rogaa),346.8726927
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,red (lutjanus bohar),423.8436565
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,black-lipped (chaetodon kleinii),1271.1665227
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,freckled (paracirrhites forsteri),2107.582768
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,moon (thalassoma lunare),16.5866369
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,blacktip (epinephelus fasciatus),19.864441
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,orange-lined (balistapus undulatus),71.493425
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,green (amblyglyphidodon indicus),95.2927428
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,red (lutjanus bohar),157.701639
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,redmouth (aethaloperca rogaa),199.9216807
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,longfin banner (heniochus acuminatus),520.8392784
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,black-lipped (chaetodon kleinii),1050.0164697
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,goldbar (thalassoma hebraicum),2556.2017571
