comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,zanclidae,6,algae_strings | algaemix,1.6666666666666667,1.0,3,4.0,1.0,3,Mann-Whitney U,2.5,0.7,cliffs_delta,-0.4444444444444444,0.4,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,fistulariidae,4,algae_strings | algaemix,0.6666666666666666,0.6666666666666666,3,2.0,0.6666666666666666,3,Mann-Whitney U,2.5,0.7,cliffs_delta,-0.4444444444444444,0.5,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,aulostomidae,3,algae_strings | algaemix,0.3333333333333333,0.3333333333333333,3,1.0,0.6666666666666666,3,Mann-Whitney U,2.5,0.7,cliffs_delta,-0.4444444444444444,0.7,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,caesionidae,6,algae_strings | algaemix,7.0,1.0,3,5.666666666666667,1.0,3,Mann-Whitney U,5.5,1.0,cliffs_delta,0.2222222222222222,0.7,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,muraenidae,5,algae_strings | algaemix,1.3333333333333333,1.0,3,1.0,0.6666666666666666,3,Mann-Whitney U,5.5,1.0,cliffs_delta,0.2222222222222222,1.0,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,labridae,6,algae_strings | algaemix,1.3333333333333333,1.0,3,1.3333333333333333,1.0,3,Mann-Whitney U,4.5,1.0,cliffs_delta,0.0,1.0,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,lethrinidae,2,algae_strings | algaemix,0.6666666666666666,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,3,Mann-Whitney U,5.0,1.0,cliffs_delta,0.1111111111111111,1.0,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,diodontidae,2,algae_strings | algaemix,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,3,Mann-Whitney U,4.5,1.0,cliffs_delta,0.0,1.0,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,pomacanthidae,3,algae_strings | algaemix,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,3,Mann-Whitney U,5.0,1.0,cliffs_delta,0.1111111111111111,1.0,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,pomacentridae,6,algae_strings | algaemix,6.666666666666667,1.0,3,8.333333333333334,1.0,3,Mann-Whitney U,4.0,1.0,cliffs_delta,-0.1111111111111111,0.7,1.0,1.0,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,family,family_maxn_by_taxon,tetraodontidae,4,algae_strings | algaemix,0.6666666666666666,0.6666666666666666,3,1.0,0.6666666666666666,3,Mann-Whitney U,3.5,1.0,cliffs_delta,-0.2222222222222222,1.0,1.0,1.0,ns,ns,ns,False,False,False
