comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,yellow-margin (gymnothorax flavimarginatus),2,algaemix | mackerel,1.0,0.6666666666666666,3,0.0,0.0,4,Mann-Whitney U,10.0,0.22857142857142856,cliffs_delta,0.6666666666666666,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,trumpetfish (aulostomus chinensis),2,algaemix | mackerel,1.0,0.6666666666666666,3,0.0,0.0,4,Mann-Whitney U,10.0,0.22857142857142856,cliffs_delta,0.6666666666666666,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,green (amblyglyphidodon indicus),3,algaemix | mackerel,0.0,0.0,3,3.0,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,red (lutjanus bohar),3,algaemix | mackerel,0.0,0.0,3,1.25,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,black-lipped (chaetodon kleinii),3,algaemix | mackerel,0.0,0.0,3,1.75,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.37142857142857144,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,blue-streak (labroides dimidiatus),3,algaemix | mackerel,0.0,0.0,3,0.75,0.75,4,Mann-Whitney U,1.5,0.22857142857142856,cliffs_delta,-0.75,0.14285714285714285,1.0,0.9428571428571428,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,moon (thalassoma lunare),7,algaemix | mackerel,1.3333333333333333,1.0,3,4.5,1.0,4,Mann-Whitney U,2.5,0.4,cliffs_delta,-0.5833333333333334,0.37142857142857144,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,brassy trevally (caranx papuensis),2,algaemix | mackerel,0.0,0.0,3,3.25,0.5,4,Mann-Whitney U,3.0,0.4,cliffs_delta,-0.5,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,honeycomb (siganus stellatus),5,algaemix | mackerel,4.0,1.0,3,1.75,0.5,4,Mann-Whitney U,9.0,0.4,cliffs_delta,0.5,0.22857142857142856,1.0,0.9877551020408164,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,longfin banner (heniochus acuminatus),2,algaemix | mackerel,0.0,0.0,3,0.75,0.5,4,Mann-Whitney U,3.0,0.4,cliffs_delta,-0.5,0.42857142857142855,1.0,0.9877551020408164,ns,ns,ns,False,False,False
