comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,brassy trevally (caranx papuensis),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,3.25,0.5,4,Kruskal-Wallis,3.3333333333333264,0.1888756028375625,epsilon_squared,0.1904761904761895,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,mozambique fangblenny (meiacanthus mossambicus),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.75,0.5,4,Kruskal-Wallis,3.3333333333333264,0.1888756028375625,epsilon_squared,0.1904761904761895,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,longfin banner (heniochus acuminatus),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.75,0.5,4,Kruskal-Wallis,3.3333333333333264,0.1888756028375625,epsilon_squared,0.1904761904761895,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,halfmoon (sufflamen chrysopterum),3,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,3.28571428571429,0.1934266046003921,epsilon_squared,0.18367346938775572,,1.0,0.5086403306158459,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,map (arothron mappa),3,algae_strings | algaemix | mackerel,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.7499999999999956,0.252839595804747,epsilon_squared,0.10714285714285651,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,indian longnose (hipposcarus harid),1,algae_strings | algaemix | mackerel,0.0,0.0,3,1.0,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,checkerboard (halichoeres hortulanus),1,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,goldbar (thalassoma hebraicum),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,goldsaddle (parupeneus cyclostomus),1,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,rockmover (novaculichthys taeniourus),1,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.5818323394193755,ns,ns,ns,False,False,False
