video_annotation_label_id;label_id;label_name;label_hierarchy;user_id;firstname;lastname;video_id;video_filename;shape_id;shape_name;frames;annotation_id;created_at
3244429;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748905;27.01.2025 10:18
3244430;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748906;27.01.2025 10:18
3244431;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748907;27.01.2025 10:18
3244432;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748908;27.01.2025 10:18
3244433;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748909;27.01.2025 10:18
3244434;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748910;27.01.2025 10:18
3244435;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748911;27.01.2025 10:18
3244436;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748912;27.01.2025 10:18
3244437;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748913;27.01.2025 10:18
3244438;376549;Ternate (Chromis ternatensis);Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis);3843;Max;Romes;35475;25.10.Milimani_C10_Makarel_ganz.mp4;1;Point;[656.218610457];2748914;27.01.2025 10:18
